HTS_Number,Description,Country,Variable,Trade_Type,Category,Granularity,Value,Quantity_Description,Month,Year,Relevant_Date,Runtime
9013,"LIQUID CRYSTAL DEVICES NESOI; LASERS, OTHER THAN LASER DIODES; OPTICAL APPLIANCES AND INSTRUMENTS NESOI; PARTS AND ACCESSORIES THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,92,number,June,2019,2019-06-30,2026-06-26 09:57:14.121258
9015,"SURVEYING, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS ETC. NESOI; RANGEFINDERS; PARTS AND ACCESSORIES",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,June,2019,2019-06-30,2026-06-26 09:57:14.121258
9015,"SURVEYING, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS ETC. NESOI; RANGEFINDERS; PARTS AND ACCESSORIES",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,June,2019,2019-06-30,2026-06-26 09:57:14.121258
9021,ORTHOPEDIC APPLIANCES; SPLINTS ETC.; ARTIFICIAL PARTS OF THE BODY; HEARING AIDS AND OTHER APPLIANCES TO COMPENSATE FOR A DEFECT ETC.; PARTS ETC.,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,June,2019,2019-06-30,2026-06-26 09:57:14.121258
9025,"HYDROMETERS, THERMOMETERS, PYROMETERS, BAROMETERS, HYGROMETERS AND PSYCHROMETERS ETC.; PARTS AND ACCESSORIES THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,June,2019,2019-06-30,2026-06-26 09:57:14.121258
9101,"WATCHES, WRIST, POCKET AND OTHER, INCLUDING STOP WATCHES, WITH CASE OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,1,number,June,2019,2019-06-30,2026-06-26 09:57:14.121258
9102,"WATCHES, WRIST, POCKET AND OTHER, INCLUDING STOP WATCHES, WITH CASE NEITHER OF PRECIOUS METAL NOR OF METAL CLAD WITH PRECIOUS METAL",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,2,number,June,2019,2019-06-30,2026-06-26 09:57:14.121258
9303,"SPORTING SHOTGUNS AND RIFLES, MUZZLE LOADING FIREARMS, VERY PISTOLS AND SIMILAR DEVICES, PISTOLS AND REVOLVERS FIRING BLANK AMMUNITION, ETC.",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,June,2019,2019-06-30,2026-06-26 09:57:14.121258
9305,"PARTS AND ACCESSORIES OF ARMS (MILITARY WEAPONS, PISTOLS, REVOLVERS, SHOTGUNS, RIFLES ETC.) OF HEADINGS 9301 TO 9304",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,June,2019,2019-06-30,2026-06-26 09:57:14.121258
9603,"BROOMS, BRUSHES, HAND-OPERATED FLOOR SWEEPERS, NOT MOTORIZED, MOPS AND FEATHER DUSTERS; PREPARED KNOTS AND TUFTS; PAINT PADS AND ROLLERS; SQUEEGEES",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,June,2019,2019-06-30,2026-06-26 09:57:14.121258
9706,ANTIQUES OF AN AGE EXCEEDING ONE HUNDRED YEARS,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,June,2019,2019-06-30,2026-06-26 09:57:14.121258
4011,"NEW PNEUMATIC TIRES, OF RUBBER",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
6306,"TARPAULINS, SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT, AWNINGS, SUNBLINDS, TENTS AND CAMPING GOODS, OF TEXTILE MATERIALS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,kilograms,July,2019,2019-07-31,2026-06-26 09:57:14.121258
6307,MADE-UP ARTICLES OF TEXTILE MATERIALS NESOI,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,kilograms,July,2019,2019-07-31,2026-06-26 09:57:14.121258
7007,"SAFETY GLASS, CONSISTING OF TOUGHENED (TEMPERED) OR LAMINATED GLASS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,square meters,July,2019,2019-07-31,2026-06-26 09:57:14.121258
7326,"ARTICLES OF IRON OR STEEL, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,kilograms,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8407,SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON ENGINES,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8413,"PUMPS FOR LIQUIDS, WITH OR WITHOUT A MEASURING DEVICE; LIQUID ELEVATORS; PARTS THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8424,MECHANICAL APPLIANCES FOR DISPERSING LIQUID OR POWDER; FIRE EXTINGUISHERS; SPRAY GUNS ETC.; STEAM OR SAND BLASTING AND SIMILAR MACHINES; PARTS THEREOF,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8425,PULLEY TACKLE AND HOISTS OTHER THAN SKIP HOISTS; WINCHES AND CAPSTANS; JACKS,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8431,"PARTS OF MACHINERY OF HEADINGS 8425 TO 8430 COVERING DERRICKS, FORK-LIFT TRUCKS, CONVEYERS, SELF-PROPELLED BULLDOZERS, GRADERS, SNOWPLOWS, ETC.",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8471,"AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF; MAGNETIC OR OPTICAL READERS, MACHINES FOR TRANSCRIBING AND PROCESSING CODED DATA, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8473,PARTS AND ACCESSORIES NESOI FOR TYPEWRITERS AND OTHER OFFICE MACHINES OF HEADINGS 8469 TO 8472,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8517,"ELECTRICAL APPARATUS FOR LINE TELEPHONY OR LINE TELEGRAPHY, INCLUDING SUCH APPARATUS FOR CARRIER-CURRENT OR DIGITAL LINE SYSTEMS; PARTS THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8517,"ELECTRICAL APPARATUS FOR LINE TELEPHONY OR LINE TELEGRAPHY, INCLUDING SUCH APPARATUS FOR CARRIER-CURRENT OR DIGITAL LINE SYSTEMS; PARTS THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8525,"TRANSMISSION APPARATUS FOR RADIOTELEPHONY, RADIOTELEGRAPHY, RADIOBROADCASTING OR TV; TV CAMERAS; STILL IMAGE VIDEO CAMERAS AND RECRDRS;DIGITAL CAMERAS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,41,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8528,"TELEVISION RECEIVERS, INCLUDING VIDEO MONITORS AND VIDEO PROJECTORS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8544,"INSULATED WIRE, CABLE AND OTHER INSULATED ELECTRICAL CONDUCTORS; OPTICAL FIBER CABLES, OF INDIVIDUALLY SHEATHED FIBERS, WITH CONDUCTORS ETC. OR NOT",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8708,"PARTS AND ACCESSORIES FOR TRACTORS, PUBLIC-TRANSPORT PASSENGER VEHICLES, MOTOR CARS, GOODS TRANSPORT MOTOR VEHICLES AND SPECIAL PURPOSE MOTOR VEHICLES",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8716,"TRAILERS AND SEMI-TRAILERS; OTHER VEHICLES, NOT MECHANICALLY PROPELLED; AND PARTS THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,kilograms,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8800,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,July,2019,2019-07-31,2026-06-26 09:57:14.121258
8907,"FLOATING STRUCTURES NESOI (INCLUDING RAFTS, TANKS, COFFERDAMS, LANDING STAGES, BUOYS AND BEACONS)",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,July,2019,2019-07-31,2026-06-26 09:57:14.121258
9002,"OPTICAL ELEMENTS (INCLUDING LENSES, PRISMS AND MIRRORS), MOUNTED, EXCLUDING ELEMENTS OF GLASS NOT OPTICALLY WORKED; PARTS AND ACCESSORIES THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
9005,"BINOCULARS, MONOCULARS, OTHER OPTICAL TELESCOPES OR ASTRONOMICAL INSTRUMENTS, EXCEPT FOR RADIO-ASTRONOMY; PARTS AND ACCESSORIES, INCLUDING MOUNTINGS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
9013,"LIQUID CRYSTAL DEVICES NESOI; LASERS, OTHER THAN LASER DIODES; OPTICAL APPLIANCES AND INSTRUMENTS NESOI; PARTS AND ACCESSORIES THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
9015,"SURVEYING, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS ETC. NESOI; RANGEFINDERS; PARTS AND ACCESSORIES",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,July,2019,2019-07-31,2026-06-26 09:57:14.121258
9015,"SURVEYING, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS ETC. NESOI; RANGEFINDERS; PARTS AND ACCESSORIES",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,9,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
9021,ORTHOPEDIC APPLIANCES; SPLINTS ETC.; ARTIFICIAL PARTS OF THE BODY; HEARING AIDS AND OTHER APPLIANCES TO COMPENSATE FOR A DEFECT ETC.; PARTS ETC.,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,July,2019,2019-07-31,2026-06-26 09:57:14.121258
9025,"HYDROMETERS, THERMOMETERS, PYROMETERS, BAROMETERS, HYGROMETERS AND PSYCHROMETERS ETC.; PARTS AND ACCESSORIES THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,130,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
9101,"WATCHES, WRIST, POCKET AND OTHER, INCLUDING STOP WATCHES, WITH CASE OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
9102,"WATCHES, WRIST, POCKET AND OTHER, INCLUDING STOP WATCHES, WITH CASE NEITHER OF PRECIOUS METAL NOR OF METAL CLAD WITH PRECIOUS METAL",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
9303,"SPORTING SHOTGUNS AND RIFLES, MUZZLE LOADING FIREARMS, VERY PISTOLS AND SIMILAR DEVICES, PISTOLS AND REVOLVERS FIRING BLANK AMMUNITION, ETC.",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
9305,"PARTS AND ACCESSORIES OF ARMS (MILITARY WEAPONS, PISTOLS, REVOLVERS, SHOTGUNS, RIFLES ETC.) OF HEADINGS 9301 TO 9304",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,July,2019,2019-07-31,2026-06-26 09:57:14.121258
9603,"BROOMS, BRUSHES, HAND-OPERATED FLOOR SWEEPERS, NOT MOTORIZED, MOPS AND FEATHER DUSTERS; PREPARED KNOTS AND TUFTS; PAINT PADS AND ROLLERS; SQUEEGEES",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,July,2019,2019-07-31,2026-06-26 09:57:14.121258
9706,ANTIQUES OF AN AGE EXCEEDING ONE HUNDRED YEARS,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,July,2019,2019-07-31,2026-06-26 09:57:14.121258
4011,"NEW PNEUMATIC TIRES, OF RUBBER",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
6306,"TARPAULINS, SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT, AWNINGS, SUNBLINDS, TENTS AND CAMPING GOODS, OF TEXTILE MATERIALS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,kilograms,August,2019,2019-08-31,2026-06-26 09:57:14.121258
6307,MADE-UP ARTICLES OF TEXTILE MATERIALS NESOI,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,kilograms,August,2019,2019-08-31,2026-06-26 09:57:14.121258
7007,"SAFETY GLASS, CONSISTING OF TOUGHENED (TEMPERED) OR LAMINATED GLASS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,square meters,August,2019,2019-08-31,2026-06-26 09:57:14.121258
7326,"ARTICLES OF IRON OR STEEL, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,kilograms,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8407,SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON ENGINES,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,3,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8413,"PUMPS FOR LIQUIDS, WITH OR WITHOUT A MEASURING DEVICE; LIQUID ELEVATORS; PARTS THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8424,MECHANICAL APPLIANCES FOR DISPERSING LIQUID OR POWDER; FIRE EXTINGUISHERS; SPRAY GUNS ETC.; STEAM OR SAND BLASTING AND SIMILAR MACHINES; PARTS THEREOF,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8425,PULLEY TACKLE AND HOISTS OTHER THAN SKIP HOISTS; WINCHES AND CAPSTANS; JACKS,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8431,"PARTS OF MACHINERY OF HEADINGS 8425 TO 8430 COVERING DERRICKS, FORK-LIFT TRUCKS, CONVEYERS, SELF-PROPELLED BULLDOZERS, GRADERS, SNOWPLOWS, ETC.",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8471,"AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF; MAGNETIC OR OPTICAL READERS, MACHINES FOR TRANSCRIBING AND PROCESSING CODED DATA, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8473,PARTS AND ACCESSORIES NESOI FOR TYPEWRITERS AND OTHER OFFICE MACHINES OF HEADINGS 8469 TO 8472,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8517,"ELECTRICAL APPARATUS FOR LINE TELEPHONY OR LINE TELEGRAPHY, INCLUDING SUCH APPARATUS FOR CARRIER-CURRENT OR DIGITAL LINE SYSTEMS; PARTS THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8517,"ELECTRICAL APPARATUS FOR LINE TELEPHONY OR LINE TELEGRAPHY, INCLUDING SUCH APPARATUS FOR CARRIER-CURRENT OR DIGITAL LINE SYSTEMS; PARTS THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8525,"TRANSMISSION APPARATUS FOR RADIOTELEPHONY, RADIOTELEGRAPHY, RADIOBROADCASTING OR TV; TV CAMERAS; STILL IMAGE VIDEO CAMERAS AND RECRDRS;DIGITAL CAMERAS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8528,"TELEVISION RECEIVERS, INCLUDING VIDEO MONITORS AND VIDEO PROJECTORS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8544,"INSULATED WIRE, CABLE AND OTHER INSULATED ELECTRICAL CONDUCTORS; OPTICAL FIBER CABLES, OF INDIVIDUALLY SHEATHED FIBERS, WITH CONDUCTORS ETC. OR NOT",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8708,"PARTS AND ACCESSORIES FOR TRACTORS, PUBLIC-TRANSPORT PASSENGER VEHICLES, MOTOR CARS, GOODS TRANSPORT MOTOR VEHICLES AND SPECIAL PURPOSE MOTOR VEHICLES",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8716,"TRAILERS AND SEMI-TRAILERS; OTHER VEHICLES, NOT MECHANICALLY PROPELLED; AND PARTS THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,kilograms,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8800,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,August,2019,2019-08-31,2026-06-26 09:57:14.121258
8907,"FLOATING STRUCTURES NESOI (INCLUDING RAFTS, TANKS, COFFERDAMS, LANDING STAGES, BUOYS AND BEACONS)",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,August,2019,2019-08-31,2026-06-26 09:57:14.121258
9002,"OPTICAL ELEMENTS (INCLUDING LENSES, PRISMS AND MIRRORS), MOUNTED, EXCLUDING ELEMENTS OF GLASS NOT OPTICALLY WORKED; PARTS AND ACCESSORIES THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
9005,"BINOCULARS, MONOCULARS, OTHER OPTICAL TELESCOPES OR ASTRONOMICAL INSTRUMENTS, EXCEPT FOR RADIO-ASTRONOMY; PARTS AND ACCESSORIES, INCLUDING MOUNTINGS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,99,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
9013,"LIQUID CRYSTAL DEVICES NESOI; LASERS, OTHER THAN LASER DIODES; OPTICAL APPLIANCES AND INSTRUMENTS NESOI; PARTS AND ACCESSORIES THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,134,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
9015,"SURVEYING, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS ETC. NESOI; RANGEFINDERS; PARTS AND ACCESSORIES",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,August,2019,2019-08-31,2026-06-26 09:57:14.121258
9015,"SURVEYING, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS ETC. NESOI; RANGEFINDERS; PARTS AND ACCESSORIES",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
9021,ORTHOPEDIC APPLIANCES; SPLINTS ETC.; ARTIFICIAL PARTS OF THE BODY; HEARING AIDS AND OTHER APPLIANCES TO COMPENSATE FOR A DEFECT ETC.; PARTS ETC.,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,August,2019,2019-08-31,2026-06-26 09:57:14.121258
9025,"HYDROMETERS, THERMOMETERS, PYROMETERS, BAROMETERS, HYGROMETERS AND PSYCHROMETERS ETC.; PARTS AND ACCESSORIES THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
9101,"WATCHES, WRIST, POCKET AND OTHER, INCLUDING STOP WATCHES, WITH CASE OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
9102,"WATCHES, WRIST, POCKET AND OTHER, INCLUDING STOP WATCHES, WITH CASE NEITHER OF PRECIOUS METAL NOR OF METAL CLAD WITH PRECIOUS METAL",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
9303,"SPORTING SHOTGUNS AND RIFLES, MUZZLE LOADING FIREARMS, VERY PISTOLS AND SIMILAR DEVICES, PISTOLS AND REVOLVERS FIRING BLANK AMMUNITION, ETC.",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
9305,"PARTS AND ACCESSORIES OF ARMS (MILITARY WEAPONS, PISTOLS, REVOLVERS, SHOTGUNS, RIFLES ETC.) OF HEADINGS 9301 TO 9304",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,August,2019,2019-08-31,2026-06-26 09:57:14.121258
9603,"BROOMS, BRUSHES, HAND-OPERATED FLOOR SWEEPERS, NOT MOTORIZED, MOPS AND FEATHER DUSTERS; PREPARED KNOTS AND TUFTS; PAINT PADS AND ROLLERS; SQUEEGEES",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,August,2019,2019-08-31,2026-06-26 09:57:14.121258
9706,ANTIQUES OF AN AGE EXCEEDING ONE HUNDRED YEARS,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,August,2019,2019-08-31,2026-06-26 09:57:14.121258
4011,"NEW PNEUMATIC TIRES, OF RUBBER",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,September,2019,2019-09-30,2026-06-26 09:57:14.121258
6306,"TARPAULINS, SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT, AWNINGS, SUNBLINDS, TENTS AND CAMPING GOODS, OF TEXTILE MATERIALS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,kilograms,September,2019,2019-09-30,2026-06-26 09:57:14.121258
6307,MADE-UP ARTICLES OF TEXTILE MATERIALS NESOI,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,kilograms,September,2019,2019-09-30,2026-06-26 09:57:14.121258
7007,"SAFETY GLASS, CONSISTING OF TOUGHENED (TEMPERED) OR LAMINATED GLASS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,square meters,September,2019,2019-09-30,2026-06-26 09:57:14.121258
7326,"ARTICLES OF IRON OR STEEL, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,kilograms,September,2019,2019-09-30,2026-06-26 09:57:14.121258
8407,SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON ENGINES,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,September,2019,2019-09-30,2026-06-26 09:57:14.121258
8413,"PUMPS FOR LIQUIDS, WITH OR WITHOUT A MEASURING DEVICE; LIQUID ELEVATORS; PARTS THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,September,2019,2019-09-30,2026-06-26 09:57:14.121258
8424,MECHANICAL APPLIANCES FOR DISPERSING LIQUID OR POWDER; FIRE EXTINGUISHERS; SPRAY GUNS ETC.; STEAM OR SAND BLASTING AND SIMILAR MACHINES; PARTS THEREOF,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,September,2019,2019-09-30,2026-06-26 09:57:14.121258
8425,PULLEY TACKLE AND HOISTS OTHER THAN SKIP HOISTS; WINCHES AND CAPSTANS; JACKS,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,September,2019,2019-09-30,2026-06-26 09:57:14.121258
8431,"PARTS OF MACHINERY OF HEADINGS 8425 TO 8430 COVERING DERRICKS, FORK-LIFT TRUCKS, CONVEYERS, SELF-PROPELLED BULLDOZERS, GRADERS, SNOWPLOWS, ETC.",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,September,2019,2019-09-30,2026-06-26 09:57:14.121258
8471,"AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF; MAGNETIC OR OPTICAL READERS, MACHINES FOR TRANSCRIBING AND PROCESSING CODED DATA, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,September,2019,2019-09-30,2026-06-26 09:57:14.121258
8473,PARTS AND ACCESSORIES NESOI FOR TYPEWRITERS AND OTHER OFFICE MACHINES OF HEADINGS 8469 TO 8472,Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,September,2019,2019-09-30,2026-06-26 09:57:14.121258
8517,"ELECTRICAL APPARATUS FOR LINE TELEPHONY OR LINE TELEGRAPHY, INCLUDING SUCH APPARATUS FOR CARRIER-CURRENT OR DIGITAL LINE SYSTEMS; PARTS THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,no units collected,September,2019,2019-09-30,2026-06-26 09:57:14.121258
8517,"ELECTRICAL APPARATUS FOR LINE TELEPHONY OR LINE TELEGRAPHY, INCLUDING SUCH APPARATUS FOR CARRIER-CURRENT OR DIGITAL LINE SYSTEMS; PARTS THEREOF",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,September,2019,2019-09-30,2026-06-26 09:57:14.121258
8525,"TRANSMISSION APPARATUS FOR RADIOTELEPHONY, RADIOTELEGRAPHY, RADIOBROADCASTING OR TV; TV CAMERAS; STILL IMAGE VIDEO CAMERAS AND RECRDRS;DIGITAL CAMERAS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,September,2019,2019-09-30,2026-06-26 09:57:14.121258
8528,"TELEVISION RECEIVERS, INCLUDING VIDEO MONITORS AND VIDEO PROJECTORS",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,September,2019,2019-09-30,2026-06-26 09:57:14.121258
8544,"INSULATED WIRE, CABLE AND OTHER INSULATED ELECTRICAL CONDUCTORS; OPTICAL FIBER CABLES, OF INDIVIDUALLY SHEATHED FIBERS, WITH CONDUCTORS ETC. OR NOT",Greenland,First Unit of Quantity,ForeignExp,Foreign,4,0,number,September,2019,2019-09-30,2026-06-26 09:57:14.121258
